annot	type	PF	HF	n_subgroups	pfam_id	clan_id	clan_name	Function?	pfam_description
EGF	HF	NA	19	9	PF00008	CL0001	EGF	Signalling	EGF-like domain
Glyco_hydro_59	HF	NA	11	8	PF02057	CL0036	TIM_barrel	GH	Glycosyl hydrolase family 59
Glyco_hydro_2	HF	NA	10	7	PF00703	CL0159	E-set	GH	Glycosyl hydrolases family 2
FAD_oxidored	HF	NA	9	7	PF12831	CL0063	NADP_Rossmann	Oxidoreductase	FAD dependent oxidoreductase
Glyco_hydro_20	HF	NA	9	8	PF00728	CL0036	TIM_barrel	GH	Glycosyl hydrolase family 20, catalytic domain
MT	HF	NA	9	6	PF12777	NA	NA	Microtubule-binding	Microtubule-binding stalk of dynein motor
WSC	HF	NA	9	8	PF01822	NA	NA	NA	WSC domain
Ig_Rha78A_N	HF	NA	8	7	PF25788	CL0159	E-set	Binding	Rha78A-like, N-terminal immunoglobulin domain
Bac_rhamnosid	HF	NA	6	5	PF05592	CL0004	Concanavalin	GH	Bacterial alpha-L-rhamnosidase concanavalin-like domain
EcKL	HF	NA	7	5	PF02958	CL0016	PKinase	Signalling	Ecdysteroid kinase-like family
Glyco_transf_29	PF	45	NA	6	PF00777	CL0948	GT29-like	GH	Glycosyltransferase family 29 (sialyltransferase)
PP-binding	PF	44	NA	9	PF00550	CL0314	PP-binding		Phosphopantetheine attachment site
ketoacyl-synt	PF	40	NA	8	PF00109	CL0046	Thiolase	Secondary metabolism	Beta-ketoacyl synthase, N-terminal domain
Bestrophin	PF	34	NA	5	PF01062	CL0897	Bestrophin	Ion channel	Bestrophin, RFP-TM, chloride channel
DiatomPyrShell	PF	34	NA	5	PF25192	NA	NA		Diatom pyrenoid shell protein
TPT	PF	33	NA	4	PF03151	CL0184	DMT		Triose-phosphate Transporter family
PC-Esterase	PF	29	NA	5	PF13839	CL0264	SGNH_hydrolase		GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
PAP_fibrillin	PF	24	NA	8	PF04755	CL0116	Calycin		PAP_fibrillin
EF-hand_7	shared	59	33	30	PF13499	CL0220	EF_hand		EF-hand domain pair
Ank_2	shared	59	32	34	PF12796	CL0465	Ank		Ankyrin repeats (3 copies)
IQ	shared	16	32	27	PF00612	CL0220	EF_hand		IQ calmodulin-binding motif
WD40	shared	63	30	31	PF00400	CL0186	Beta_propeller		WD domain, G-beta repeat
MORN	shared	45	29	35	PF02493	CL0251	MORN		MORN repeat
RRM_1	shared	51	28	28	PF00076	CL0221	RRM		RNA recognition motif
TIG	shared	33	28	24	PF01833	CL0159	E-set		IPT/TIG domain
Sel1	shared	76	27	35	PF08238	CL0020	TPR		Sel1 repeat
Sulfatase	shared	38	27	21	PF00884	CL0088	Alk_phosphatase		Sulfatase
Ion_trans	shared	58	25	26	PF00520	CL0030	Ion_channel		Ion transport protein
PPR	shared	7	9	11	PF01535	CL0020	TPR		PPR repeat
PT	shared	14	7	12	PF04886	NA	NA		PT disordered repeat